ID	RECEITA PREVISTA	PRECO MEDIO JAN	PRECO MEDIO FEV	PRECO MEDIO MAR	DISPO JAN	DISPO FEV	DISPO MAR
20674843	136400.0	2241.9354838709683	2475.8620689655168	2032.2580645161288	23	29	31
39772082	357000.0	3000.000000000002	3000.0	3000.000000000002	25	29	0
17710238	63680.0	2129.0322580645156	2093.103448275863	1756.4516129032259	25	22	31
16805238	173170.0	4215.806451612901	3493.4482758620684	2190.000000000001	11	28	16
32038412	81800.0	1270.9677419354841	1065.5172413793102	864.5161290322574	21	19	21
136432	0.0	701.612903225807	624.1379310344829	403.22580645161264	31	29	31
29591237	55530.0	2410.6451612903234	2400.0	2400.000000000001	24	23	31
381175	70750.0	1245.1612903225807	1293.1034482758623	799.9999999999994	10	14	31
10499398	48400.0	1229.0322580645163	1231.0344827586207	1025.8064516129032	17	19	31
30168398	0.0	794.1935483870968	1000.0	999.9999999999999	31	29	31
5083196	6050.0	366.1290322580646	384.4827586206896	350.0000000000001	20	29	31
31559691	56860.0	1045.16129032258	1024.1379310344826	449.99999999999966	11	22	31
16488493	44400.0	751.6129032258067	693.103448275862	416.1290322580642	31	1	0
35610231	282600.0	1799.9999999999986	1800.0000000000002	1799.9999999999986	0	0	0
17600812	15900.0	779.0322580645167	750.0	750.0000000000005	29	29	31
38525095	8550.0	450.96774193548373	350.0	350.0000000000001	27	24	31
37655127	212700.0	1358.0645161290329	1451.7241379310344	1500.000000000001	15	9	0
16584086	73000.0	1251.612903225807	1386.206896551724	1200.0000000000005	5	17	31
4828196	31490.0	584.7096774193545	535.0	238.0000000000001	24	29	0
30744349	20850.0	616.1290322580647	641.3793103448277	499.99999999999994	6	29	31
862171	125840.0	2574.1935483870966	2724.137931034484	1687.7419354838705	16	28	22
22059222	35600.0	1564.516129032259	1493.1034482758619	750.0000000000005	25	24	31
38919666	8330.0	720.0000000000003	769.6551724137931	720.0000000000003	26	29	31
382920	100100.0	1248.3870967741937	1327.5862068965519	787.0967741935482	9	14	27
20787755	0.0	635.8064516129032	500.0	499.99999999999994	31	29	31
31095011	15080.0	907.7419354838714	737.9310344827585	470.0000000000003	31	29	31
29803260	18900.0	994.1935483870967	808.2758620689658	799.9999999999994	25	23	31
14519117	22050.0	496.7741935483866	443.1034482758621	350.0000000000001	28	17	31
20898918	9890.0	1209.483870967742	903.793103448276	901.9354838709673	21	29	31
39756223	2845.0	584.5161290322579	709.137931034483	354.9999999999998	30	29	31
13979019	45211.0	875.9354838709672	808.1724137931037	523.6774193548384	7	25	31
28226289	114276.0	1033.6774193548385	1037.9310344827586	953.9999999999995	6	10	31
21325537	171800.0	3548.387096774197	2862.068965517243	1403.2258064516132	16	22	29
14773725	6000.0	9096.77419354839	8655.172413793105	5000.000000000001	31	29	31
31282886	64700.0	454.838709677419	400.00000000000017	399.9999999999997	8	13	0
39218340	69835.0	611.2903225806447	537.0344827586208	558.0645161290324	24	29	1
39795765	198900.0	1300.0000000000011	1299.9999999999995	1300.0000000000011	0	0	0
23309510	64473.0	1025.4516129032263	1241.3793103448277	999.9999999999999	6	15	31
17119551	37410.0	758.0645161290317	762.0689655172413	448.38709677419314	19	9	10
21261179	32400.0	899.9999999999993	1106.8965517241384	919.3548387096768	8	20	31
13113327	36100.0	832.2580645161285	824.4827586206897	650.0000000000006	6	14	31
26277821	18850.0	406.45161290322557	425.8620689655173	303.22580645161304	9	27	31
32100225	89850.0	650.0000000000006	649.9999999999998	650.0000000000006	0	0	0
28407303	93600.0	799.9999999999994	800.0000000000003	864.1935483870972	0	0	31
16674539	22950.0	790.3225806451609	569.6551724137933	480.00000000000034	25	16	31
16954539	103170.0	1433.8709677419365	1467.2413793103456	802.9032258064509	28	1	0
382936	57500.0	812.9032258064516	855.1724137931038	399.9999999999997	5	9	20
38165295	0.0	1512.9032258064526	1000.0	999.9999999999999	31	29	31
34203865	190386.0	1789.290322580644	1801.0000000000005	1800.999999999999	18	1	0
16990304	41709.0	584.1935483870968	457.41379310344826	369.99999999999983	1	12	25
32068285	16550.0	479.35483870967727	365.5172413793104	350.0000000000001	8	24	31
2058259	29140.0	729.0322580645163	620.6896551724136	424.1935483870963	24	0	31
24202995	38290.0	806.4516129032253	751.7241379310344	364.51612903225816	23	4	31
37806801	9625.0	463.5806451612905	433.6206896551724	210.83870967741933	18	29	31
6860005	16100.0	566.1290322580646	527.5862068965516	350.0000000000001	27	17	31
23806784	118810.0	1841.9354838709676	1772.4137931034486	1106.4516129032254	6	11	31
32240806	33350.0	971.6129032258069	944.1379310344832	410.64516129032233	12	29	31
21259905	186000.0	2258.064516129033	2137.931034482759	1467.7419354838717	0	1	31
30018366	10854948.0	9913.677419354848	47167.93103448277	96748.00000000004	18	14	0
39578289	10800.0	548.3870967741935	593.1034482758622	316.1290322580646	15	29	31
35380067	24454.0	716.129032258065	672.4137931034483	268.51612903225805	31	20	0
38155255	5712.0	535.1612903225805	520.6896551724137	259.99999999999994	19	29	31
31085371	72300.0	2077.4193548387084	1720.6896551724146	843.5483870967739	11	21	31
8479715	9780.0	479.03225806451644	461.0344827586207	399.9999999999997	25	29	31
19542316	6489216.0	71917.5483870968	37194.27586206898	301.03225806451627	6	18	31
20761374	30891.0	483.5806451612906	354.1379310344827	289.99999999999994	28	9	21
3781812	39430.0	559.6774193548389	517.5862068965517	270.00000000000006	12	2	27
23777938	205000.0	4182.5806451612925	1021.7241379310346	772.322580645161	7	29	31
25151890	218800.0	1264.5161290322585	1558.6206896551723	1200.0000000000005	9	1	0
18123697	38450.0	470.967741935484	525.8620689655172	396.77419354838685	1	8	29
38488099	9300.0	550.0000000000001	549.9999999999999	550.0000000000001	20	29	31
21816769	12500.0	675.8064516129034	610.3448275862066	453.2258064516126	26	29	31
39300924	0.0	580.6451612903226	341.3793103448275	249.99999999999997	31	29	31
39409422	16030.0	352.2580645161289	431.17241379310343	289.99999999999994	9	27	31
22629043	18715.0	716.1290322580647	601.7241379310344	150.00000000000006	27	29	25
32545822	3349.0	552.2580645161288	520.6896551724137	260.29032258064507	31	29	20
3503050	6394981.0	623.4516129032259	7523.551724137931	100466.22580645158	3	5	0
15323966	44982.0	986.5161290322585	1121.3793103448274	725.9999999999997	5	29	31
38343319	51755.0	1287.3548387096773	1021.7241379310346	772.322580645161	11	22	31
36484904	43200.0	766.129032258065	661.3793103448274	486.4516129032256	9	19	31
34201997	341543.0	3148.3870967741923	1800.0000000000002	1799.9999999999986	1	1	0
34711332	74300.0	2074.1935483870952	1720.6896551724146	838.7096774193545	14	20	31
27287347	47270.0	965.4838709677423	877.586206896552	448.0645161290319	3	29	31
39728669	11686.0	503.5483870967745	500.62068965517255	294.0000000000002	27	29	31
36930878	54122.0	786.9677419354834	630.1724137931034	479.67741935483895	2	7	19
8341066	42542.0	239.00000000000009	238.99999999999997	239.00000000000009	0	0	0
35124027	33160.0	638.7096774193552	510.34482758620686	437.09677419354796	24	11	31
38694397	19880.0	1263.9999999999998	1584.8620689655177	1123.2258064516132	30	29	31
34780232	29850.0	603.2258064516133	668.9655172413795	300.0000000000001	16	17	16
39545021	12038.0	458.7419354838711	433.6206896551724	210.83870967741933	20	29	31
23611026	27630.0	469.67741935483883	556.8965517241377	304.8387096774195	21	29	1
11078324	53000.0	1364.5161290322592	1368.9655172413788	1300.0000000000011	11	29	31
28907801	57000.0	1500.000000000001	1500.0	1500.000000000001	11	29	31
34889659	56864.0	494.5161290322577	409.9310344827588	328.0	0	8	31
36388233	126600.0	4306.451612903225	4844.827586206896	3129.032258064518	20	29	27
12021094	102800.0	2096.774193548387	1482.758620689655	1300.0000000000011	9	14	31
19359368	12790.0	945.1612903225808	874.8275862068966	790.0000000000003	28	29	31
